word,clue
pets,Some motel prohibitions
ayes,Votes in favor
lds,"Mormons, initially"
section,"Orchestra's percussion or strings, e.g."
deader,Less lively
option,"Sunroof, maybe"
fgs,Ends of some close N.F.L. games: Abbr.
tools,Trunk items
cents,?ó?ó?ó
hurts,Vitiates
sandal,Biblical footwear
emote,Ham it up
cukes,Garden veggies
owen,Social reformer Robert
its,"With 40-Across, a chorus line ... or a hint to this puzzle's theme"
encyc,Multivolume ref.
sobs,Has a bawl
primed,Ready
hangs,"Puts up, as a painting"
seed,Pip
neater,"More legible, say"
dressy,Fancy
amor,1944 Andy Russell hit
ages,"Ripens, as cheese"
der,___ Stern
voss,1957 Patrick White novel adapted into a 1986 opera
rider,Equestrian
hornets,N.B.A. team starting in 1988
muss,Dishevel
defer,Put off until later
craws,Gullet parts
odds,"""___ are ..."""
runner,Staircase decoration
restore,Do museum work
utter,Unqualified
artemis,"Temple of ___, one of the Seven Wonders of the Ancient World"
imac,Big Apple?
obey,Follow orders
decor,Ambience factor
heralds,Announces
lardner,"""My Roomy"" storywriter"
xkes,Classic Jaguars
endash,Hyphen's longer cousin
piper,Flute player
arms,Cache contents
fed,Supplied
nomen,"The ""Tullius"" of Marcus Tullius Cicero"
apes,Simians
optimal,Best
aten,Egyptian solar disk
escudos,Currency in Oporto
baas,Pastoral sounds
loris,Petty and Singer
ants,Tiny scurriers
teen,"Chelsea Clinton, e.g."
exams,Semester's-end events
aviated,Flew
cyans,Some printer hues
tempers,Tones down
gayer,More festive
amts,10 cc's and 64 fl. oz.
pier,Loading site
oven,Place to cook a turkey
wantads,Classifieds
rcas,Some HDTVs
tally,"Keep score, say"
tolls,"Rings, as a church bell"
nits,Tiny criticisms
meaner,Nastier
dish,Gossip
ingot,Valuable bar at Fort Knox
steaks,Outback offerings
oohs,Circusgoers' sounds
named,Appointed (to)
ics,Suffix with electron
toddles,Takes early steps
hubris,Chutzpah
deride,Mock or knock
inter,Put in the ground
revamp,Overhaul
ever,Ad infinitum
avatars,Some self-images
camry,Prius alternative
hexes,Jinxes
user,___-friendly
els,South African who twice won the U.S. Open
chis,Sigma ___ (fraternity men)
zulus,Victors of the 1879 Battle of Isandlwana
harms,Sets back
scorer,Musicographer
asians,Some Russians
imus,Radio host Don
tangles,Mats
lester,NBC newsman Holt
copiers,Certain cheaters
genies,Ones who are said to grant three wishes
pressed,Demanded immediate action from
aided,Was a good Samaritan to
onor,___ before
plies,Layers
pins,They may be bowled over
diary,Frank document
pion,Subatomic particle
enow,"Adequate, old-style"
sis,Family nickname
moral,Tale end
oder,Baltic feeder
usual,Typical
boor,Crude sort
alfas,"Sporty Spiders, informally"
end,Conclusion
danes,About five million Europeans
devo,"Band that famously remade ""Satisfaction"" on its first album"
igors,Hockey's Kravchuk and Korolev
snags,Hang-ups
hen,Blue symbol of Delaware
sides,Entree add-ons
mores,Ethical standards
ray,___ of hope
rows,Moves a shell
nearer,More contiguous
gods,"Olympians, e.g."
ales,Pub round
indira,"___ Gandhi, pioneering female leader"
xes,Ballot markings
linen,Like some shirts
wiser,Harder to fool
rigs,Weigh station lineup
amen,Grace's end
access,Means of approach
inout,Like some desk trays
srs,"H.S. students applying to college, typically"
ttops,Corvette roof options
gas,Many an anesthetic
birder,Audubon Society member
ails,Isn't fine
eels,Deep shockers
alts,Plane figs.
enlai,Zhou ___
ass,Noodlehead
odets,Playwright Clifford
mores,Conventions
carters,Former first family
gladly,With a smile
inport,At a cruise stop
pedals,Mechanisms not meant to be handled
sisters,Their habits give them away
noor,Koh-i- ___ (famed diamond)
deluise,Comic actor Dom
tass,Moscow news name
deft,Nimble-fingered
intel,Computer chip company
seles,Tennis champ Monica
pier,It's on top of piles
batty,Nuts
abes,Former Sen. Ribicoff et al.
alas,"""A pity"""
clerks,Court staff
ness,Noted Volstead Act enforcer
saunas,Steamy places
ntests,'40s blowups
rtes,G.P.S. output: Abbr.
wines,"Blushes, say"
gay,"The ""G"" of L.G.B.T.Q.+"
solder,Plumber's need
detrain,Get off at a station
darts,Pub competition
acs,"Some auto options, briefly"
eos,Daybreak deity
efs,Awful grades
tows,Garage jobs
rely,Bank
emmet,Irish revolutionary Robert
bier,Funeral stand
pigs,Pen pals?
sds,"Org. with buttons that said ""There's a change gonna come"""
ohbaby,"""Hummina hummina!"""
sublime,Lofty in thought or manner
megs,"Computer capacity, in brief"
reeds,Some marsh flora
esqs,Titles for attys.
oval,"Like skating rinks, typically"
afts,"Times past noon, informally"
able,Up to snuff
etes,Noisy-le-Sec seasons
bucs,"Tampa Bay players, familiarly"
mps,Brit. legislators
hawks,Warmongers
yeses,Affirmatives
res,Hi-___ graphics
edits,Reviews and corrects
ecards,Virtual birthday greetings
redo,Change the decor
forests,Woodlands
tudor,Architectural style named after a British royal family
cpas,Busy Apr. workers
obrien,TV newswoman Soledad
bests,Outdoes
nler,Met or Card
overarm,One way to pitch
pegs,"Hard throws to first base, say"
igor,Dr. Frankenstein's assistant
ramadas,Shelters on the beach
rears,Brings up
dawns,Beginnings
recap,Sports show ending
user,End ___
mcs,Variety show overseers
stems,Florists' cuttings
punts,Boats propelled by poles
donors,___ card (wallet item)
end,Terminus
bbs,Small ammo
snows,Winter falls
ken,Obama cabinet member Salazar
jeans,"Levi's, e.g."
lased,Beamed intensely
even,Flush
demo,Floor model
hilts,Sword parts
oater,"Many a John Wayne film, informally"
rea,"Stephen of ""Interview With the Vampire"""
rents,Amounts on Monopoly cards
rosses,Media executive Steven and others
legion,American ___ (veterans' group)
caches,Data stores
ree,Riddle-me-___
sateen,Glossy fabric
smarten,"Polish, with ""up"""
strads,Valuable strings
judas,Back stabber
soys,High-protein beans
alter,Doctor
reelin,"Catch, as a catch-of-the-day"
laser,Light in a light show
slides,Amusement park features
swaths,Mower's trails
erases,Goes back on one's word?
det,"""The Shield"" fig."
sides,Right and left
ely,See 26 Across
alis,Father-and-daughter fighters
needy,Wanting others' attention and approval
yaps,Barks
spay,"Fix, as a cat"
tabor,Small drum
ens,U.S.N.A. grad
removed,Distant
ekes,"Stretches, with ""out"""
remo,"San ___, Italy"
edify,Enlighten
axed,Pink-slipped
motels,Roadside stops
antes,Chips in chips
pier,Place for a shore dinner
oss,C.I.A. predecessor
imok,"""Don't worry about me"""
aver,Profess
rennet,Cheesemaking need
idler,Loafer
areas,Spheres
emus,Cousins of the cassowary
sophs,"Frosh, next year"
ims,"Quick online notes, for short"
detat,Coup ___
led,Was in front
inns,London's ___ of Court
pests,Pains in the neck
rejoin,"Answer, legally"
toter,"Bellhop, at times"
utahans,"Salt Lake City residents, e.g."
emir,Dubai dignitary
trashy,Lowbrow
aries,April fools' sign?
badems,Noted German spa
bal,"The Ravens, on scoreboards"
bass,Low pitch?
jesus,Religious figure
gaits,Manners of walking
twofers,Some bargains
macs,Handy computers
soyas,Sources of tofu
axed,Gave the boot
imok,Reassuring words
donkeys,Democratic symbols
imean,"""You know ... it's ... um ... like this ..."""
onion,"""Skunk egg"""
spleen,Peevish temper
indicts,Legally charges
depaul,Home of the Blue Demons
cen,"800s, e.g.: Abbr."
ness,1987 Costner role
toms,Parts of a drum kit
veal,Calf meat
imari,Elaborate Japanese porcelain
doer,No layabout
even,Knotted up
bled,"Ran, as colors"
rec,"Fun and games, informally"
relic,Museum artifact
auras,Glows
eager,Itching
spies,Spooks
gloss,Luster
tiles,Dominoes
ants,Myrmecophobe's fear
deere,"Fortune 500 company based in Moline, Ill."
une,Arles article
loss,Any Buffalo Bills Super Bowl result
eeling,Sniggler's activity
crafts,Much Etsy merchandise
based,Stationed
gaseous,Like four of the eight planets
enamel,Paint choice
peyotes,Cacti used for hallucinogens
barrels,Crude measurements?
pass,Get any grade above an F
elis,Crimson rivals
rene,French president Coty
give,Springiness
treed,"Unable to escape, in a way"
whiffs,Quick smells
ups,___ and leaves
paris,Romeo's rival
den,Home for cubs
reins,Straps for an equestrian
macys,"""Miracle on 34th Street"" store"
reys,Alejandro and Fernando
zoners,Members of some city commissions
edited,Ready for publication
greer,Hoopster Hal
totes,Conveys
agrees,Doesn't dissent
pss,"They go below signatures, briefly"
tangy,Zestful
estops,Impedes legally
slay,Leave rolling in the aisles
irs,"Form 1040 receiver, for short"
roes,Graceful antlered animals
irises,Those in front of lenses
eeler,"Pot user, maybe"
times,"London institution since 1785, with ""The"""
achy,Hurting
len,Super Bowl QB Dawson
deli,Carnegie ___
gay,Happy as a lark
baer,Heavyweight champ after Carnera
oas,Western treaty grp.
listen,Pay attention
sensed,Picked up
dday,"*Setting for ""Saving Private Ryan"""
periods,Phases
stamen,Place for pollen
arches,Podiatric concern
solos,What no two people can do?
auden,"""The Age of Anxiety"" poet"
artemis,Apollo's twin
pedal,Accessory with a bass drum
voter,"Person behind a curtain, maybe"
kahunas,Big cheeses
rains,Soakers
pegs,Violin quartet
eyeful,Check-out limit?
seered,Go ballistic
impels,Drives
dee,"Syllable repeated after ""fiddle"""
dross,Worthless stuff
fatten,Prepare for market
anti,Start to matter?
abs,They may be chiseled
devo,"""Whip It"" rock group"
ellis,New York Bay's ___ Island
tenses,Present and future
rods,Serling and Stewart
ncis,"Spinoff of TV's ""JAG"""
gory,Like some details
duhs,"""Obviously!"" remarks"
elmer,Warner Brothers' ___ J. Fudd
ten,Perfect rating
nuns,Convent residents
whams,Hard hits
laws,Statutes
canals,Lock holders
olay,Famous name in oil
ans,The difference between what he said and what she said
holes,Problems with an argument
condor,Andean flier
henry,Dennis the Menace's dad
elegy,Mournful poem
hams,Soupy Sales and others
glens,Gorges
apery,Silly trick
treys,Low poker holdings
tails,Flip response?
exams,Searches for signs in a hospital
odes,"""To Spring"" and others"
amis,Contemporary novelist Martin
alloys,Sterling silver and others
lavs,Loos
eno,Rock composer Brian
twined,Coiled about
mer,Terre's opposite
mashed,Potato choice
reek,Need a bath
lists,Leans
pens,They may be felt
hatter,Mad ___
reich,Clinton cabinet member
answers,Clues from 7-Down
inre,"About, on a memo"
teal,Pond duck
uses,Employs
mynas,Mocking birds?
seconds,Another helping
skulked,Lay low
yser,It flows in Flanders
emts,Defib team
instead,Alternatively
guys,Insults playfully
moss,Something soft to sit on
taps,Bugler's melody
aces,Ones that may be high?
malts,Fountain drinks
ufos,Foreign dishes?
donates,Doesn't charge for
inri,Cross inscription
airy,Open to breezes
dele,Strike
mires,Bogs down
senhor,Brazilian mister
egos,They may be set aside in a collaboration
ouis,Legislateurs' votes
ills,Troubles
pathos,Compassion
depot,Redcap's workplace
stay,Arrest of action
sever,Split up
leper,Colony member
ads,A lot of junk mail
natal,Birth-related
rhinos,Big chargers in Africa
rescues,Heroic deeds
arcs,Parabola shapes
acres,Farm name ender
scrimps,Is frugal
lamas,"""Falcon Crest"" star"
etas,"Pilots' announcements, for short"
acts,Makes a move
yes,"""Absolutely!"""
eno,Brian of rock music
oval,Zero-shaped
oly,"Popular beer, for short"
pared,Peeled
freaks,"Loses it, with ""out"""
hmos,Benefit package grps.
sleeves,Record holders
deste,Renaissance beauty Isabella ___
cays,Low islands
shay,"Dobbin's tow, maybe"
hors,___ de combat
rear,Bring up
officer,Cop
seuss,Geisel's pen name
planes,Nose-in-the-air types?
jays,Sox rival
basal,At the bottom
items,Articles
dryly,Without any pizazz
oaks,Druidic worship sites
peen,Round pounder
broths,Servings for the sick
crier,Old town official
unit,Military group
atten,When some nighttime news begins
erects,Builds up
beavis,Deadbeat student at TV's Highland High
oater,Cowboy feature
elis,"""___ Coming"" (1969 hit)"
showy,Ostentatious
ills,Pandora's release
yes,"Sandburg's ""The People, ___"""
rest,"The first ""R"" of R&R"
aquiver,Visibly nervous
anomaly,Deviation
val,"Kilmer of ""Top Gun"""
inlets,Coast features
inhot,___ water (facing trouble)
rereads,Goes over again
seabass,Chilean catch
hewer,Lumberjack
scaring,Halloween activity
tasters,Pillsbury Bake-Off officials
keys,Jailer's need
diner,"Where rye is ""whiskey"""
moral,End of an Aesop fable
gory,Like a lot of zombie movies
rested,How one should feel after a vacation
indo,___ -European
enron,"""The Smartest Guys in the Room"" company"
anns,Richards and Reinking
enrapt,Absorbed
parry,"Deflect, as comments"
semis,What four quarters make
city,Jackson or Cleveland
olive,Green shade
lyes,Caustic cleansers
ten,Perfect rating
speed,Meth-amphetamine
yens,Impulses
andy,Artist Warhol
ivs,E.R. inserts
retro,Prefix with active or grade
den,Trophy case locale
sros,"Some hotels, for short"
acuity,Mental sharpness
badomen,"Red morning sky, to sailors"
owes,Is in the hole
errols,Flynn and others
called,See 68-Across
gores,Al et al.
meanies,Malefactors
sss,Barbecue sound
lining,Jacket part
dense,Thickheaded
terms,Semesters
arts,Conservatory pursuits
endue,Provide with a quality
rears,Puts up
boas,Drag show props
reshape,Fashion again
picots,Embroidery loops
perps,Some guest roles on cop shows
orval,Gov. Faubus in Arkansas history
besos,Spanish kisses
igive,"""Put me out of my misery!"""
enol,Organic compound
mgs,Small sports cars
glen,Narrow valley
leas,Grazing lands
niner,Bay Area gridder
snees,Old blades
une,French article
seder,Meal with Elijah's cup
onus,Blame
egos,Selves
twofer,Get-one-free deal
sly,"Winking, maybe"
dea,"Narc employer, for short"
nomads,Hunter-gatherer types
ares,Apollo's half brother
relet,Subleased
hotels,Monopoly pieces
pes,"Foot, to Flavius"
pter,Wing: Prefix
oxy,Prefix with acetylene
red,Cherry
stinks,Smells to high heaven
bois,___ de Boulogne (Parisian park)
knots,Speed units
tenured,"Hard to let go of, in a way"
dem,Not like Ike: Abbr.
orion,Heavenly hunter
exiles,Some are political
beds,"Twins, e.g."
auras,Enveloping glows
shy,Short
algal,Like some pond growths
adieus,Goodbyes
annoy,Rub the wrong way
pes,Latin foot
sty,Hog's home
reap,Garner
sups,Takes night courses?
airs,Shows
revel,Cut loose
unoiled,"Squeaky, say"
nor,Where Bergen is: Abbr.
awed,Thunderstruck
wired,Ready for the Information Age
eden,Forbidden fruit site
coed,Not same-sex
nears,Narrows the gap with
effects,Special ___ (movie budget expense)
uzis,Yom Kippur War weaponry
rerig,Make ready to sail again
macs,British raincoats
baas,Rural calls
ers,Stammering sounds
egos,Vanity cases?
stings,Undercover jobs
toyotas,"Sequoias, e.g."
waiter,One taking orders
ams,"Mornings, for short"
emery,Grinding stuff
ictus,Metrical stress
hoped,Wished (for)
agents,Receivers of cuts
stay,"""Don't move!"""
grimy,In need of a good scrubbing
noes,Turndowns
alps,Locale of 10 Winter Olympics
timor,"East ___, U.N. member since 2002"
imps,Pucks
mrlucky,Title gambler in a 1943 Cary Grant film
owed,Due
aides,Gofers
dots,Fruity candy since 1945
say,Utter
ink,It's kept in a pen
orly,Paris landing site
devil,Ranger rival
tsks,Reproachments
haters,No fans
tmen,Some Feds
seed,Origin
abs,"Muscles that are targets of planking, informally"
